id,lemma,pos,count
8863,зчы,ADV,5
8864,верабей,NOUN,5
8865,крыкс,PROPN,5
8866,садзік,NOUN,5
8867,парашут,NOUN,5
8868,вампір,NOUN,5
8869,выязджаць,VERB,5
8870,хата,PROPN,5
8871,браток,NOUN,5
8872,вясёлка,ADJ,5
8873,ачуньваць,VERB,5
8874,небагаты,ADJ,5
8875,дальбог,INTJ,5
8876,умерці,VERB,5
8877,грымяць,VERB,5
8878,увесці,VERB,5
8879,батрак,NOUN,5
8880,аўтобус,NOUN,5
8881,доліць,VERB,5
8882,узвод,NOUN,5
8883,аднаўляць,VERB,5
8884,рассець,VERB,5
8885,варожы,NOUN,5
8886,ўпярод,ADV,5
8887,сталасць,NOUN,5
8888,сняга,NOUN,5
8889,серабро,NOUN,5
8890,цнота,NOUN,5
8891,хочэ,VERB,5
8892,бураломны,ADJ,5
8893,чэсна,ADV,5
8894,усюды,NOUN,5
8895,рэч,PROPN,5
8896,вясна,ADJ,5
8897,паганіць,VERB,5
8898,казка,PROPN,5
8899,рупліва,ADV,5
8900,уранне,NOUN,5
8901,адціснуць,VERB,5
8902,застогнуць,VERB,5
8903,асмяяць,VERB,5
8904,ўстаяць,VERB,5
8905,бондар,NOUN,5
8906,некалі,VERB,5
8907,зарыпець,VERB,5
8908,цыгара,NOUN,5
8909,душна,ADV,5
8910,пырскаць,VERB,5
8911,ярмо,PART,5
8912,атлас,NOUN,5
8913,крацца,VERB,5
8914,гук,PROPN,5
8915,адмыслова,ADV,5
8916,ёмкі,ADV,5
8917,гнуткі,ADJ,5
8918,лічаць,VERB,5
8919,змяняцца,VERB,5
8920,вожык,PROPN,5
8921,мерзнуць,VERB,5
8922,мужчынскі,ADJ,5
8923,новы,NOUN,5
8924,дуда,NOUN,5
8925,блукацца,VERB,5
8926,бясконцасць,NOUN,5
8927,плячо,VERB,5
8928,мітусня,NOUN,5
8929,якаясь,DET,5
8930,табы,ADJ,5
8931,ўцячэць,VERB,5
8932,байдак,NOUN,5
8933,вырв,VERB,5
8934,сколькі,ADV,5
8935,грозна,NOUN,5
8936,мацаваць,VERB,5
8937,сыты,VERB,5
8938,сіні,PROPN,5
8939,вымавіць,VERB,5
8940,страчыць,VERB,5
8941,далеч,NOUN,5
8942,дзюрка,NOUN,5
8943,прачніцца,VERB,5
8944,цырк,NOUN,5
8945,пацук,NOUN,5
8946,цёпла,ADV,5
8947,скалыхнцца,VERB,5
8948,затрашчаць,VERB,5
8949,маст,NOUN,5
8950,авацыя,NOUN,5
8951,зарыдаць,VERB,5
8952,паўтараць,VERB,5
8953,каршун,PROPN,5
8954,сев,NOUN,5
8955,неспадзявана,ADV,5
8956,спагадаць,VERB,5
8957,плечы,VERB,5
8958,сэрца,PART,5
8959,бясшумна,ADV,5
8960,выліваць,VERB,5
8961,постаць,NUM,5
8962,амерыка,PROPN,5
8963,узброіць,VERB,5
8964,злыдзень,NOUN,5
8965,клубк,NOUN,5
8966,стол,PROPN,5
8967,хатынь,NOUN,5
8968,ўзаўцца,VERB,5
8969,пажалець,VERB,5
8970,вулкан,NOUN,5
8971,святляны,ADJ,5
8972,абысціся,VERB,5
8973,пл,VERB,5
8974,асядаць,VERB,5
8975,папасць,VERB,5
8976,верх,ADP,5
8977,сопка,NOUN,5
8978,удоўж,ADP,5
8979,ягнятак,NOUN,5
8980,ільд,NOUN,5
8981,звыклы,ADJ,5
8982,вучэнне,NOUN,5
8983,апранаць,VERB,5
8984,дастатак,NOUN,5
8985,панёссе,VERB,5
8986,прыска,NOUN,5
8987,удзячнасць,NOUN,5
8988,намеснік,NOUN,5
8989,крыкно,VERB,5
8990,пасесці,VERB,5
8991,бязмежнасць,NOUN,5
8992,накарміць,VERB,5
8993,ядыны,ADJ,5
8994,дала,ADV,5
8995,вышэй,ADJ,5
8996,ёлка,NOUN,5
8997,сціць,VERB,5
8998,сталетні,ADJ,5
